,DirichletModel_MultimodalClassifier_dc
1348,3.6568928
1349,3.6568928
1350,3.6568928
1351,3.6568928
1352,3.6568928
1353,3.6568928
1354,3.6568928
1355,3.6568928
1356,3.6568928
1357,3.6568928
1358,3.6568928
1359,3.6568928
1360,3.6568928
1361,3.6568928
1362,3.6568928
1363,3.6568928
1364,3.6568928
1365,3.6568928
1366,3.690559
1367,3.6568928
1368,3.6568928
1369,3.6568928
1370,3.6568928
1371,3.6568928
1372,3.6568928
1373,3.6568928
1374,3.6568928
1375,3.6568928
1376,3.6568928
1377,3.6568928
1378,3.6568928
1379,3.6568928
1380,3.6568928
1381,3.6568928
1382,3.6568928
1383,3.6568928
1384,3.6568928
1385,3.6568928
1386,3.6568928
1387,3.6568928
1388,3.6568928
1389,3.6568928
1390,3.6568928
1391,3.6568928
1392,3.6568928
1393,3.6568928
1394,3.6568928
1395,3.6568928
1396,3.6568928
1397,3.6568928
1398,3.6568928
1399,3.6568928
1400,3.6568928
1401,3.6568928
1402,3.6568928
1403,3.6568928
1404,3.6568928
1405,3.6568928
1406,3.6568928
1407,3.6568928
1408,3.6568928
1409,3.6568928
1410,3.6568928
1411,3.6568928
1412,3.6568928
1413,3.6568928
1414,3.6568928
1415,3.6568928
1416,3.6568928
1417,3.6568928
1418,3.6568928
1419,3.6568928
1420,3.6568928
1421,3.6568928
1422,3.6568928
1423,3.6568928
1424,3.6568928
1425,3.6568928
1426,3.6568928
1427,3.6568928
1428,3.6568928
1429,3.6568928
1430,3.6568928
1431,3.6568928
1432,3.6568928
1433,3.6568928
1434,3.6568928
1435,3.6568928
1436,3.6568928
1437,3.6568928
1438,3.6568928
1439,3.6568928
1440,3.6568928
1441,3.6568928
1442,3.6568928
1443,3.6568928
1444,3.6568928
1445,3.6568928
1446,3.6568928
1447,3.6568928
1448,3.6568928
1449,3.6568928
1450,3.6568928
1451,3.6568928
1452,3.6568928
1453,3.6568928
1454,3.6568928
1455,3.6568928
1456,3.6568928
1457,3.6568928
1458,3.6568928
1459,3.6568928
1460,3.6568928
1461,3.6568928
1462,3.6568928
1463,3.6568928
1464,3.6568928
1465,3.6568928
1466,3.6568928
1467,3.6568928
1468,3.6568928
1469,3.6568928
1470,3.6568928
1471,3.6568928
1472,3.6568928
1473,3.6568928
1474,3.6568928
1475,3.6568928
1476,3.6568928
1477,3.6568928
1478,3.6568928
1479,3.6568928
1480,3.6568928
1481,3.6568928
1482,3.6568928
1483,3.6568928
1484,3.6568928
1485,3.6568928
1486,3.6568928
1487,3.6568928
1488,3.6568928
1489,3.6568928
1490,3.6568928
1491,3.6568928
1492,3.6568928
1493,3.6568928
1494,3.6568928
1495,3.6568928
1496,3.6568928
1497,3.6568928
1498,3.6568928
1499,3.6568928
1500,3.6568928
1501,3.6568928
1502,3.6568928
1503,3.6568928
1504,3.6568928
1505,3.6568928
1506,3.690559
1507,3.6568928
1508,3.6568928
1509,3.6568928
1510,3.6568928
1511,3.6568928
1512,3.6568928
1513,3.6568928
1514,3.6568928
1515,3.6568928
1516,3.6568928
1517,3.6568928
1518,3.6568928
1519,3.6568928
1520,3.6568928
1521,3.6568928
1522,3.6568928
1523,3.6568928
1524,3.6568928
1525,3.6568928
1526,3.6568928
1527,3.6568928
1528,3.6568928
1529,3.6568928
1530,3.6568928
1531,3.6568928
1532,3.6568928
1533,3.6568928
1534,3.6568928
1535,3.6568928
1536,3.6568928
1537,3.6568928
1538,3.6568928
1539,3.6568928
1540,3.6568928
1541,3.6568928
1542,3.6568928
1543,3.6568928
1544,3.6568928
1545,3.6568928
1546,3.6568928
1547,3.6568928
1548,3.6568928
1549,3.6568928
1550,3.6568928
1551,3.6568928
1552,3.6568928
1553,3.6568928
1554,3.6568928
1555,3.6568928
1556,3.6568928
1557,3.6568928
1558,3.6568928
1559,3.6568928
1560,3.6568928
1561,3.6568928
1562,3.6568928
1563,3.6568928
1564,3.6568928
1565,3.6568928
1566,3.6568928
1567,3.6568928
1568,3.6568928
1569,3.6568928
1570,3.6568928
1571,3.6568928
1572,3.6568928
1573,3.6568928
1574,3.6568928
1575,3.6568928
1576,3.6568928
1577,3.6568928
1578,3.6568928
1579,3.6568928
1580,3.6568928
1581,3.6568928
1582,3.6568928
